Date,ACWI VOTING RIGHTS-ADJUSTED
2021-05,1408.8463892442112
2021-06,1469.0065972323218
2021-07,1479.690300079863
2021-08,1523.4843848361918
2021-09,1492.0981551709433
2021-10,1569.949268101121
2021-11,1576.9928140604013
2021-12,1627.0303721218338
2022-01,1572.6434588746015
2022-02,1532.8634925326849
2022-03,1582.5970418653596
2022-04,1540.0892726650056
2022-05,1521.6208725791842
2022-06,1427.5671568268065
2022-07,1568.1565707039958
2022-08,1532.4497410899537
2022-09,1424.9443510629076
2022-10,1503.2861156208567
2022-11,1553.9268381764587
2022-12,1441.5050083268677
2023-01,1515.6985000938917
2023-02,1508.8581530023105
2023-03,1516.2230255631987
2023-04,1514.0141984161469
2023-05,1550.221627982133
2023-06,1604.5742616639138
2023-07,1643.3025954462234
