Date,INDIA DOMESTIC
2015-03,1899.2760197708692
2015-04,1725.468447894061
2015-05,1807.7064837018775
2015-06,1776.202788160798
2015-07,1823.4575081025612
2015-08,1630.6383835274632
2015-09,1647.321057350871
2015-10,1699.5647818868274
2015-11,1714.021412860108
2015-12,1686.131702323877
2016-01,1567.7332090448213
2016-02,1434.7154123187827
2016-03,1567.7673287282248
2016-04,1581.6233832855964
2016-05,1670.323212881307
2016-06,1704.326862285764
2016-07,1792.6670540270147
2016-08,1831.1685834598202
2016-09,1793.8420433228425
2016-10,1840.326006395547
2016-11,1764.095504702783
2016-12,1769.6241830159752
2017-01,1815.230894696035
2017-02,1953.5634149012483
2017-03,2063.9606507652616
2017-04,2083.3308822955973
2017-05,2074.253875669743
2017-06,2033.5889041546334
2017-07,2110.5285616665487
2017-08,2080.611224244843
2017-09,2021.7662020321175
2017-10,2182.7895961282384
2017-11,2128.6344649466705
2017-12,2203.439687184259
2018-01,2208.941539431317
2018-02,2101.700123868876
2018-03,2017.3610669210982
2018-04,2137.8336990581206
2018-05,2177.361651369581
2018-06,2138.880710921734
2018-07,2258.151310208803
2018-08,2267.7342646006387
2018-09,2059.8688847288945
2018-10,1982.065425863672
2018-11,2207.2053685814985
2018-12,2188.177919687769
2019-01,2122.956183036155
2019-02,2130.9004742800707
2019-03,2386.4442401015276
2019-04,2395.3172965993704
2019-05,2441.347118893719
2019-06,2387.5832697679093
2019-07,2318.2366231442174
2019-08,2252.7535480965635
2019-09,2384.1155068063326
2019-10,2408.0962934560953
2019-11,2443.5434971021373
2019-12,2433.89831263195
2020-01,2436.3125306944867
2020-02,2279.251258299971
2020-03,1673.8117952385226
2020-04,1937.125215622115
2020-05,1842.8784618753978
2020-06,1960.4164403881243
2020-07,2015.892586299122
2020-08,2084.4896852925367
2020-09,2105.7823341652966
2020-10,2177.8435662627758
2020-11,2365.6244072660384
2020-12,2527.0140802177116
2021-01,2482.614972862754
2021-02,2630.6703601741633
2021-03,2759.8666143373707
2021-04,2651.6707320844625
2021-05,2842.373702395253
2021-06,2895.07865973958
2021-07,2908.4767354185938
2021-08,3238.2687460559914
2021-09,3324.799852859132
2021-10,3308.9866778501296
2021-11,3280.298039414715
2021-12,3351.3639493969044
2022-01,3366.9289227720533
2022-02,3224.734132122625
2022-03,3361.847546606561
2022-04,3478.048803238187
2022-05,3250.7291802534546
2022-06,3108.909144227624
2022-07,3490.4375662205052
2022-08,3687.0428217914746
2022-09,3552.027048193056
2022-10,3621.241776387145
2022-11,3664.2869979523307
2022-12,3360.1245868353003
2023-01,3207.833235224454
2023-02,3156.395321531493
2023-03,3117.4353722002716
2023-04,3212.0664204889904
2023-05,3405.7156489100994
2023-06,3487.412712034973
2023-07,3542.650249156909
