Date,CROATIA SMALL CAP
2010-11,1000.0
2010-12,1083.2189220972734
2011-01,1151.2618958797357
2011-02,1144.3498786886862
2011-03,1148.5683618841942
2011-04,1110.959443801852
2011-05,1150.604189578585
2011-06,1115.4241331026496
2011-07,1028.5040704796804
2011-08,951.2969572516968
2011-09,826.3384127917111
2011-10,790.4047934582683
2011-11,743.6294550954033
2011-12,747.877704912218
2012-01,775.4401483724891
2012-02,785.0225167070851
2012-03,796.66604515803
2012-04,791.2211126214796
2012-05,729.363377800917
2012-06,733.951395781662
2012-07,739.0187111893003
2012-08,742.3820027432431
2012-09,795.1885510448982
2012-10,827.8525869553137
2012-11,848.9020246020676
2012-12,878.1009115173133
2013-01,930.8298282761405
2013-02,976.259300500274
2013-03,1017.0474775848705
2013-04,991.6439422322998
2013-05,955.0449271776138
2013-06,978.9976582205353
2013-07,1025.4525390985832
2013-08,918.0663316823059
2013-09,908.4909261548897
2013-10,883.622672725569
2013-11,884.9067056820463
2013-12,889.8274471546293
2014-01,930.7872641945861
2014-02,918.4492066547524
2014-03,914.7631274131907
2014-04,916.653871241439
2014-05,920.6613780115612
2014-06,970.7681819621437
2014-07,979.8278866626158
2014-08,1010.8754806337677
2014-09,1054.9284874978405
2014-10,1008.3448663781438
2014-11,982.5577025496708
2014-12,971.1207453433401
2015-01,964.7562748134887
2015-02,966.8666621238511
2015-03,953.7364898822921
2015-04,995.5922653204781
2015-05,986.4393331254955
2015-06,975.4539296008421
2015-07,1001.940355994886
2015-08,991.277861992501
2015-09,974.6789705178536
2015-10,1046.2897584285963
2015-11,998.9473593020592
2015-12,995.0986457113883
2016-01,962.2271774191227
2016-02,958.3717163994304
2016-03,1016.2192442426673
2016-04,1031.6965210760425
2016-05,1067.2661857515511
2016-06,1032.5709610904173
2016-07,1083.8984455924742
2016-08,1118.6199009394566
2016-09,1159.221721165663
2016-10,1170.1393260003824
2016-11,1175.7068282245052
2016-12,1160.5786104206686
2017-01,1233.8293369929859
2017-02,1265.0960633060452
2017-03,1011.3405570365356
2017-04,957.5655600069041
2017-05,924.3596751800588
2017-06,946.9303177144975
2017-07,881.9444040518767
2017-08,902.9427015293049
2017-09,842.6309545057657
2017-10,866.0969189755735
2017-11,865.4355177339668
2017-12,858.3940547950488
2018-01,883.1583792465756
2018-02,856.8467978717633
2018-03,847.9054790213033
2018-04,854.094046813038
2018-05,906.6713788479748
2018-06,908.8761875296963
2018-07,921.5809712392381
2018-08,910.2101935678518
2018-09,901.6864162146653
2018-10,887.6879393937598
2018-11,870.466613808857
2018-12,855.7979177078658
2019-01,884.7509260719895
2019-02,898.1429529371027
2019-03,907.8271570887521
2019-04,943.7708802126963
2019-05,964.9719877693151
2019-06,959.0686427065132
2019-07,963.8378501809012
2019-08,935.8011013822285
2019-09,1002.4456791348805
2019-10,1008.0518369932216
2019-11,1021.1743088911662
2019-12,1038.7211064958371
2020-01,1031.7439575464882
2020-02,968.7731235861976
2020-03,726.3655061582115
2020-04,769.4871556157094
2020-05,842.1438800089138
2020-06,818.9866898997836
2020-07,827.9399595401818
2020-08,849.1488656671444
2020-09,871.2784225476287
2020-10,853.74490329735
2020-11,927.1437433760764
2020-12,952.2104484049121
2021-01,958.9842883578617
2021-02,971.9831986982826
2021-03,1009.4180499579321
2021-04,1011.1789102909463
2021-05,1047.8481458528854
2021-06,1077.6525612002379
2021-07,1061.2229349848055
2021-08,1075.9890776049133
2021-09,1093.8451106961004
2021-10,1132.9903424690403
2021-11,1098.8705896133379
2021-12,1153.0939312932483
2022-01,1197.7529235479722
2022-02,1091.2786150734412
2022-03,1142.1838971329223
2022-04,1155.7121491692296
2022-05,1135.1613097083466
2022-06,1110.1208933427422
2022-07,1085.3677455932752
2022-08,1112.7680117247821
2022-09,1040.5326983031305
2022-10,1066.0218683401717
2022-11,1028.3010924433715
2022-12,1069.9679103274973
2023-01,1147.546199854944
2023-02,1184.7899735736726
2023-03,1183.8645828803355
2023-04,1194.492948481774
2023-05,1216.485705333359
2023-06,1305.1618853692962
2023-07,1342.4083514250526
