Date,ACWI WITH USA GROSS
2001-09,1000.0
2001-10,1021.0590582243674
2001-11,1083.7304486574785
2001-12,1093.8259737678595
2002-01,1063.7871073575614
2002-02,1056.0432731604378
2002-03,1103.4805179384152
2002-04,1068.3580926646084
2002-05,1069.42634911515
2002-06,1003.9800244722106
2002-07,919.6290218228713
2002-08,921.9681420090191
2002-09,820.7066242082826
2002-10,881.1981363964506
2002-11,929.3248798411365
2002-12,884.980852875098
2003-01,858.9736299824979
2003-02,843.8361786517512
2003-03,840.417078835471
2003-04,915.1709248686449
2003-05,967.9659154866179
2003-06,986.2362510691363
2003-07,1007.9944332323194
2003-08,1031.7376386554845
2003-09,1038.2488384666322
2003-10,1101.0573552780309
2003-11,1117.8326897761779
2003-12,1188.543267303076
2004-01,1208.8600287539596
2004-02,1230.9233173221912
2004-03,1224.234782175662
2004-04,1195.903881379925
2004-05,1205.3965625621631
2004-06,1229.560840230419
2004-07,1190.4630746767139
2004-08,1198.082425554856
2004-09,1223.104521316392
2004-10,1253.2737916717444
2004-11,1321.899920788717
2004-12,1373.464044291424
2005-01,1344.5072727958323
2005-02,1391.461297880057
2005-03,1361.1701806547662
2005-04,1331.3551983993384
2005-05,1356.6055901728357
2005-06,1370.5696470337325
2005-07,1421.3627482888658
2005-08,1432.7122937894333
2005-09,1476.0041427603642
2005-10,1436.6923407728698
2005-11,1489.5297400372785
2005-12,1526.4720103175252
2006-01,1601.5722559318456
2006-02,1599.66638131679
2006-03,1633.5790805396416
2006-04,1688.1591384715541
2006-05,1622.1849970959877
2006-06,1621.775871710425
2006-07,1633.0208118424866
2006-08,1675.868749240319
2006-09,1695.697516440546
2006-10,1759.4956741512165
2006-11,1809.5353020229516
2006-12,1849.895071920265
2007-01,1868.8450452010368
2007-02,1859.6119874090682
2007-03,1897.1417632958814
2007-04,1981.6215707078793
2007-05,2040.680404777736
2007-06,2034.480178589755
2007-07,2003.1047548796532
2007-08,1997.9201432212
2007-09,2104.6350045939625
2007-10,2186.3006198428034
2007-11,2091.304889259019
2007-12,2068.8420076867233
2008-01,1900.62489841733
2008-02,1905.9703435905496
2008-03,1879.1632985745985
2008-04,1983.7745095620016
2008-05,2015.6283711962583
2008-06,1850.5337587634144
2008-07,1802.7935400008826
2008-08,1764.4225561939877
2008-09,1544.2952071188236
2008-10,1238.5832767867328
2008-11,1157.722957289896
2008-12,1200.145353991579
2009-01,1097.8120437543814
2009-02,990.8137722666198
2009-03,1072.7191636236737
2009-04,1199.5958579369699
2009-05,1319.5620257776995
2009-06,1312.4673773116408
2009-07,1428.2494828062904
2009-08,1479.7624021358868
2009-09,1547.9397210738061
2009-10,1524.253676592154
2009-11,1587.4188035911693
2009-12,1620.604336085173
2010-01,1550.7765643668315
2010-02,1570.9789370263748
2010-03,1672.3559656491882
2010-04,1675.397520521339
2010-05,1516.9949772688146
2010-06,1470.5771756711565
2010-07,1590.4684092412808
2010-08,1535.3186646173915
2010-09,1682.527766732863
2010-10,1743.5806350205291
2010-11,1705.2807206711332
2010-12,1830.5198965544078
2011-01,1859.482476481315
2011-02,1914.1592131543011
2011-03,1912.6051282372682
2011-04,1991.1233144232535
2011-05,1948.8796713155275
2011-06,1918.565056604038
2011-07,1887.6033727382605
2011-08,1750.2761803540784
2011-09,1585.3550218177445
2011-10,1755.5450138918895
2011-11,1703.644745884749
2011-12,1700.6238759541052
2012-01,1799.7840674648335
2012-02,1890.968344269118
2012-03,1903.9287157925817
2012-04,1882.4698987612544
2012-05,1714.3194142287305
2012-06,1799.4424367389624
2012-07,1824.387959994215
2012-08,1864.7553103111902
2012-09,1923.922242703041
2012-10,1911.468638242817
2012-11,1936.7080257236903
2012-12,1981.3117579851837
2013-01,2072.9395711725806
2013-02,2073.28436874283
2013-03,2111.6333031539757
2013-04,2172.2965728946083
2013-05,2167.100529671943
2013-06,2104.264981881417
2013-07,2205.438306233194
2013-08,2160.191869001335
2013-09,2272.278052097054
2013-10,2364.012646011443
2013-11,2398.2770876288782
2013-12,2440.259342680612
2014-01,2342.995214855968
2014-02,2457.0360793302857
2014-03,2468.4882343587333
2014-04,2492.3829815998197
2014-05,2546.241499455765
2014-06,2594.793088815202
2014-07,2563.785924985498
2014-08,2621.2380356451836
2014-09,2536.81032343461
2014-10,2555.121433687933
2014-11,2598.7954692208596
2014-12,2549.3018846642203
2015-01,2509.8541161329754
2015-02,2650.5706285233027
2015-03,2610.1332312901613
2015-04,2686.292036262113
2015-05,2683.6962246535927
2015-06,2621.1647491517124
2015-07,2644.604112781234
2015-08,2464.1643116678247
2015-09,2375.532689523058
2015-10,2562.4803480134465
2015-11,2542.3032486943416
2015-12,2497.168769655913
2016-01,2347.005257750933
2016-02,2331.8361433731843
2016-03,2505.3252937144666
2016-04,2542.7652777702083
2016-05,2546.962097583946
2016-06,2532.207290391761
2016-07,2641.831288492039
2016-08,2651.7637190242726
2016-09,2668.6193769818365
2016-10,2623.829582348703
2016-11,2644.8929390773746
2016-12,2702.66697389979
2017-01,2777.03105612098
2017-02,2855.9744117300847
2017-03,2891.609969859196
2017-04,2937.2044163688643
2017-05,3003.235922818374
2017-06,3017.5527306825147
2017-07,3102.6087124973724
2017-08,3115.6832138749155
2017-09,3176.480685574106
2017-10,3242.993872343794
2017-11,3307.0361115498354
2017-12,3360.977678415911
2018-01,3551.142964748145
2018-02,3403.0984889856068
2018-03,3331.0381982331764
2018-04,3363.4137933966153
2018-05,3368.91887324979
2018-06,3351.3416921982866
2018-07,3453.0292557870134
2018-08,3481.4012940640746
2018-09,3497.319474741027
2018-10,3235.828030282086
2018-11,3284.4583340836793
2018-12,3053.9315600689233
2019-01,3295.7778170367765
2019-02,3385.2241858816196
2019-03,3428.6012041610447
2019-04,3545.018563462893
2019-05,3335.9979660178483
2019-06,3555.2548215991283
2019-07,3566.37126790047
2019-08,3483.080795000772
2019-09,3557.225619651054
2019-10,3655.289409967378
2019-11,3745.833860869174
2019-12,3878.74215961598
2020-01,3836.67390854191
2020-02,3528.0395798209147
2020-03,3052.6735983253584
2020-04,3380.365147768932
2020-05,3528.706359887462
2020-06,3642.3340225880725
2020-07,3835.7325704324144
2020-08,4071.633101342274
2020-09,3941.178349561081
2020-10,3846.0730562721064
2020-11,4321.3619733024325
2020-12,4523.0543495905895
2021-01,4503.239534593433
2021-02,4608.632894491066
2021-03,4732.741789104623
2021-04,4940.408265808988
2021-05,5018.523809262882
2021-06,5085.622757
2021-07,5121.531663510591
2021-08,5250.935834683148
2021-09,5034.978236992771
2021-10,5292.775992331879
2021-11,5166.625188
2021-12,5374.417223997434
2022-01,5111.243277398171
2022-02,4980.5074777540285
2022-03,5089.575913949868
2022-04,4682.89706832186
2022-05,4689.85229180205
2022-06,4295.639165248259
2022-07,4596.4916117803805
2022-08,4428.658289295111
2022-09,4005.7293711163343
2022-10,4248.25183622826
2022-11,4579.396500250018
2022-12,4400.31562668063
2023-01,4716.533367625236
2023-02,4582.767159841498
2023-03,4725.392780761303
2023-04,4794.110515944228
2023-05,4744.2978730972445
2023-06,5020.883731955508
2023-07,5205.580546635163
