Date,EM GCC COUNTRIES DOMESTIC
2014-05,1000.0
2014-06,796.8745518815625
2014-07,916.8824221597713
2014-08,947.8252817991256
2014-09,979.6498519227418
2014-10,923.3241160692897
2014-11,929.7891385150637
2014-12,829.2055275732996
2015-01,792.3835160252997
2015-02,842.9841729760303
2015-03,797.968378313817
2015-04,873.7149114733243
2015-05,821.9032758360493
2015-06,845.9998017447781
2015-07,834.317195319968
2015-08,786.3586458273583
2015-09,773.2927372943922
2015-10,761.5561005156609
2015-11,676.9857955789481
2015-12,696.2695795796776
2016-01,614.8452108575844
2016-02,682.0223273504242
2016-03,720.1674583997615
2016-04,729.2158724562412
2016-05,679.6727379834211
2016-06,698.5343839083961
2016-07,748.9411923655887
2016-08,762.757556550615
2016-09,738.4441820926141
2016-10,717.1376437097837
2016-11,698.4270282095101
2016-12,746.2970778431369
2017-01,762.600080073436
2017-02,774.9124153847213
2017-03,767.2171002841704
2017-04,761.301986
2017-05,756.309839
2017-06,730.313736
2017-07,771.766229
2017-08,749.110085
2017-09,731.330527
2017-10,732.672871
2017-11,689.882932
2017-12,719.689778
2018-01,753.522437
2018-02,719.618839
2018-03,722.866311
2018-04,755.7792123040798
2018-05,737.0593909369762
2018-06,729.4708672267653
2018-07,783.7002501403115
2018-08,785.0833273150092
2018-09,778.9029598844076
2018-10,798.5558539891688
2018-11,786.4524535284066
2018-12,779.955114799768
2019-01,808.3567287107353
2019-02,799.8721550075521
2019-03,806.4813449210959
2019-04,841.342567202565
2019-05,776.357444780565
2019-06,793.0000849890534
2019-07,800.6226192275442
2019-08,743.0241973021597
2019-09,741.3207575787709
2019-10,718.768796667148
2019-11,723.9618621379799
2019-12,759.0606886056943
2020-01,744.6663516488388
2020-02,687.6654315284462
2020-03,582.0287901387283
2020-04,640.6117718810372
2020-05,639.5163440426061
2020-06,654.4289883329596
2020-07,665.8069004124886
2020-08,704.7605622960616
2020-09,719.2644490567262
2020-10,704.9998401315188
2020-11,772.008434545649
2020-12,774.4470742780665
2021-01,795.465833223128
2021-02,823.4831675700294
2021-03,885.6682094897805
2021-04,932.8598337705033
2021-05,947.2222569156366
2021-06,975.3798503951386
2021-07,984.9431181875549
2021-08,1029.607996723807
2021-09,1053.8222093112531
2021-10,1089.8691579207418
2021-11,1028.545963786598
2021-12,1072.7545054994398
2022-01,1154.916262396289
2022-02,1206.460804913273
2022-03,1275.8447338386375
2022-04,1335.873053117124
2022-05,1240.315162730609
2022-06,1113.3999091952908
2022-07,1179.5376520437326
2022-08,1196.7154763419016
2022-09,1112.7272002476916
2022-10,1142.2848714337142
2022-11,1089.5966103929914
2022-12,1042.1489182882651
2023-01,1049.205712394141
2023-02,994.2314832706489
2023-03,1025.1283080956564
2023-04,1078.6144076742903
2023-05,1038.229122438111
2023-06,1070.7121337123554
2023-07,1109.6207245053254
